# SAP Business Workflow / 発注承認履歴 (FY2025 母集団)
# 出力日時: 2026/02/12 15:10:08 JST
# 出力者: IT003 加藤 洋子 (E0053 情シス部アプリチームリーダー)
# 抽出条件: FY2025 期間中の発注承認ワークフロー全件
# レコード数: 42件 (うちPLC-P-002/ITAC-004監査サンプル 25件を含む)

ワークフロー番号,発注番号,起票日時,起票者,金額,承認ルート,承認者,承認日時,最終ステータス,サンプル対象
WF-2025-04386,PO-2025-1978,2025-11-05 14:25:00,PUR003 清水 智明,4537230,課長単独,PUR002 林 真由美,2025-11-05 22:25:00,承認完了,
WF-2025-04584,PO-2025-3985,2025-11-06 10:27:00,PUR003 清水 智明,11655433,課長→部長,PUR001 木村 浩二,2025-11-06 16:27:00,承認完了,
WF-2025-04747,PO-2025-3640,2025-11-06 13:49:00,PUR003 清水 智明,4766206,課長単独,PUR002 林 真由美,2025-11-06 20:49:00,承認完了,
WF-2025-04575,PO-2025-1456,2025-11-08 10:00:00,PUR003 清水 智明,0,担当単独,PUR002 林 真由美,2025-11-08 13:00:00,承認完了,Y
WF-2025-04483,PO-2025-4730,2025-11-21 10:00:00,PUR003 清水 智明,0,担当単独,PUR002 林 真由美,2025-11-21 13:00:00,承認完了,Y
WF-2025-04115,PO-2025-2650,2025-12-01 10:00:00,PUR003 清水 智明,0,担当単独,PUR003 清水 智明,2025-12-01 13:00:00,承認完了,Y
WF-2025-04281,PO-2025-3731,2025-12-01 14:19:00,PUR003 清水 智明,25291185,課長→部長→CFO,CFO001 渡辺 正博,2025-12-01 18:19:00,承認完了,
WF-2025-04184,PO-2025-3040,2025-12-02 10:00:00,PUR003 清水 智明,0,担当単独,PUR003 清水 智明,2025-12-02 13:00:00,承認完了,Y
WF-2025-04460,PO-2025-4600,2025-12-05 10:00:00,PUR003 清水 智明,0,担当単独,PUR001 木村 浩二,2025-12-05 13:00:00,承認完了,Y
WF-2025-04948,PO-2025-1413,2025-12-19 14:26:00,PUR003 清水 智明,2170234,課長単独,PUR002 林 真由美,2025-12-19 20:26:00,承認完了,
WF-2025-04335,PO-2025-2012,2025-12-25 13:18:00,PUR003 清水 智明,10636453,課長→部長,PUR001 木村 浩二,2025-12-25 19:18:00,承認完了,
WF-2025-04391,PO-2025-4210,2026-01-15 10:00:00,PUR003 清水 智明,0,担当単独,PUR002 林 真由美,2026-01-15 13:00:00,承認完了,Y
WF-2025-04092,PO-2025-2520,2026-01-17 10:00:00,PUR003 清水 智明,0,担当単独,PUR003 清水 智明,2026-01-17 13:00:00,承認完了,Y
WF-2025-04142,PO-2025-1578,2026-02-09 14:26:00,PUR003 清水 智明,176349,担当単独,PUR003 清水 智明,2026-02-09 19:26:00,承認完了,
WF-2025-04877,PO-2025-1820,2026-02-15 09:48:00,PUR003 清水 智明,3027644,課長単独,PUR002 林 真由美,2026-02-15 11:48:00,承認完了,
WF-2025-04013,PO-2025-1875,2026-02-15 11:59:00,PUR003 清水 智明,1727946,課長単独,PUR002 林 真由美,2026-02-15 14:59:00,承認完了,
WF-2025-04207,PO-2025-3170,2026-02-18 10:00:00,PUR003 清水 智明,0,担当単独,PUR003 清水 智明,2026-02-18 13:00:00,承認完了,Y
WF-2025-04345,PO-2025-3950,2026-02-20 10:00:00,PUR003 清水 智明,0,担当単独,PUR003 清水 智明,2026-02-20 13:00:00,承認完了,Y
WF-2025-04953,PO-2025-3738,2026-02-21 15:52:00,PUR003 清水 智明,3207421,課長単独,PUR002 林 真由美,2026-02-21 20:52:00,承認完了,
WF-2025-04023,PO-2025-2130,2026-03-01 10:00:00,PUR003 清水 智明,0,担当単独,PUR002 林 真由美,2026-03-01 13:00:00,承認完了,Y
WF-2025-04322,PO-2025-3820,2026-03-05 10:00:00,PUR003 清水 智明,0,担当単独,PUR003 清水 智明,2026-03-05 13:00:00,承認完了,Y
WF-2025-04647,PO-2025-4517,2026-03-11 16:13:00,PUR003 清水 智明,349533,担当単独,PUR003 清水 智明,2026-03-11 19:13:00,承認完了,
WF-2025-04437,PO-2025-4470,2026-03-13 10:00:00,PUR003 清水 智明,0,担当単独,PUR002 林 真由美,2026-03-13 13:00:00,承認完了,Y
WF-2025-04236,PO-2025-0418,2026-03-15 15:43:00,PUR003 清水 智明,3986062,課長単独,PUR002 林 真由美,2026-03-15 18:43:00,承認完了,
WF-2025-04724,PO-2025-3536,2026-03-28 09:32:00,PUR003 清水 智明,4112891,課長単独,PUR002 林 真由美,2026-03-28 16:32:00,承認完了,

# 件数: 42件（サンプル25件+非サンプル17件）
